route_id,stop_id,hour_of_night,wait_time_mins,delay_mins,crowd_level,lighting_quality,stop_incident_rate,incident_reports_count,actual_risk_score,risk_label
route_n7,stop_04,23,12.8,6.9,2,2,0.04,0,18,0
route_n9,stop_06,5,9.3,1.1,0,0,0.32,2,77,2
route_n12,stop_07,1,23.2,16.3,1,2,0.09,1,65,2
route_n7,stop_07,0,12.9,2.0,1,2,0.09,0,36,1
route_n1,stop_04,22,12.4,13.4,2,2,0.04,1,17,0
route_n9,stop_09,22,18.4,6.2,1,2,0.07,1,25,0
route_n12,stop_11,21,12.2,1.1,0,1,0.19,1,56,1
route_n1,stop_01,3,30.3,48.0,1,2,0.08,2,85,2
route_n1,stop_04,0,7.5,7.6,2,2,0.04,2,28,0
route_n1,stop_01,1,10.3,1.2,1,2,0.08,1,49,1
route_n1,stop_01,21,15.3,6.4,1,2,0.08,2,28,0
route_n7,stop_04,5,12.6,1.9,2,2,0.04,1,10,0
route_n7,stop_03,2,20.4,25.4,1,2,0.06,0,70,2
route_n7,stop_07,22,21.7,11.1,1,2,0.09,0,28,0
route_n12,stop_07,22,31.9,25.1,1,2,0.09,0,35,1
route_n12,stop_11,22,23.2,4.5,0,1,0.19,2,59,1
route_n12,stop_07,23,17.3,6.3,1,2,0.09,0,35,1
route_n4,stop_04,0,14.9,14.6,2,2,0.04,0,34,0
route_n12,stop_04,23,26.8,1.5,2,2,0.04,0,21,0
route_n7,stop_07,22,23.4,5.1,1,2,0.09,1,31,0
route_n7,stop_07,0,17.6,8.2,1,2,0.09,1,40,1
route_n4,stop_04,21,16.4,0.6,2,2,0.04,0,7,0
route_n4,stop_02,22,12.8,3.5,2,1,0.14,2,35,1
route_n12,stop_07,23,24.6,20.0,1,2,0.09,2,50,1
route_n9,stop_05,23,15.2,20.2,2,2,0.05,0,27,0
route_n4,stop_10,2,11.8,1.6,0,0,0.28,1,96,2
route_n1,stop_01,22,9.6,0.6,1,2,0.08,0,22,0
route_n7,stop_08,0,9.1,3.2,0,1,0.22,1,71,2
route_n1,stop_04,0,17.1,21.6,2,2,0.04,0,33,0
route_n7,stop_03,21,19.6,0.9,1,2,0.06,0,22,0
route_n7,stop_03,0,23.0,13.2,1,2,0.06,0,47,1
route_n4,stop_04,22,13.9,0.7,2,2,0.04,2,13,0
route_n4,stop_04,21,19.4,6.3,2,2,0.04,0,12,0
route_n1,stop_01,4,5.8,2.9,1,2,0.08,1,46,1
route_n7,stop_08,5,19.9,10.1,0,1,0.22,2,62,1
route_n1,stop_02,2,13.3,4.2,2,1,0.14,2,57,1
route_n9,stop_12,23,15.5,10.6,1,2,0.06,0,41,1
route_n1,stop_05,21,8.1,1.7,2,2,0.05,0,5,0
route_n12,stop_04,1,19.3,19.5,2,2,0.04,0,44,1
route_n1,stop_01,23,21.1,21.5,1,2,0.08,0,34,0
route_n12,stop_11,21,17.8,0.9,0,1,0.19,1,52,1
route_n12,stop_11,0,33.2,20.9,0,1,0.19,2,84,2
route_n12,stop_11,21,21.9,5.9,0,1,0.19,0,60,1
route_n9,stop_12,4,13.0,0.9,1,2,0.06,0,49,1
route_n1,stop_01,22,13.2,3.6,1,2,0.08,0,18,0
route_n1,stop_09,1,11.5,2.7,1,2,0.07,0,52,1
route_n9,stop_06,23,14.7,12.5,0,0,0.32,0,89,2
route_n7,stop_04,0,21.1,14.8,2,2,0.04,2,35,1
route_n4,stop_10,0,16.1,1.2,0,0,0.28,2,85,2
route_n1,stop_01,22,9.7,4.6,1,2,0.08,0,17,0
route_n4,stop_10,5,15.1,11.0,0,0,0.28,3,82,2
route_n9,stop_09,2,23.6,42.9,1,2,0.07,2,79,2
route_n7,stop_03,4,23.1,4.7,1,2,0.06,0,52,1
route_n7,stop_07,3,27.6,46.8,1,2,0.09,0,82,2
route_n7,stop_08,0,20.4,8.0,0,1,0.22,1,75,2
route_n9,stop_06,4,11.2,3.3,0,0,0.32,4,96,2
route_n12,stop_11,21,21.2,12.3,0,1,0.19,1,63,1
route_n12,stop_04,22,23.0,4.4,2,2,0.04,0,5,0
route_n4,stop_10,21,8.5,4.2,0,0,0.28,0,66,2
route_n12,stop_11,23,22.5,7.0,0,1,0.19,2,73,2
route_n12,stop_07,23,30.7,19.5,1,2,0.09,1,48,1
route_n7,stop_03,22,24.6,11.6,1,2,0.06,0,22,0
route_n7,stop_04,2,13.3,8.1,2,2,0.04,0,39,1
route_n4,stop_02,23,18.4,4.2,2,1,0.14,1,38,1
route_n1,stop_09,22,12.2,4.4,1,2,0.07,2,29,0
route_n4,stop_10,0,20.1,8.8,0,0,0.28,3,96,2
route_n4,stop_04,22,12.5,1.8,2,2,0.04,0,5,0
route_n9,stop_06,2,21.1,24.6,0,0,0.32,1,96,2
route_n9,stop_05,21,17.0,4.3,2,2,0.05,0,5,0
route_n4,stop_02,5,17.8,2.6,2,1,0.14,1,29,0
route_n4,stop_07,2,12.1,1.8,1,2,0.09,0,51,1
route_n4,stop_02,22,10.0,1.8,2,1,0.14,2,33,0
route_n12,stop_11,21,23.8,19.4,0,1,0.19,1,66,2
route_n9,stop_12,2,11.9,5.7,1,2,0.06,0,53,1
route_n4,stop_07,1,10.6,2.9,1,2,0.09,0,58,1
route_n7,stop_04,1,15.4,9.6,2,2,0.04,0,45,1
route_n7,stop_08,2,22.7,5.7,0,1,0.22,5,96,2
route_n12,stop_04,21,10.3,0.2,2,2,0.04,0,5,0
route_n12,stop_07,23,22.8,4.1,1,2,0.09,0,35,1
route_n1,stop_09,21,8.1,5.1,1,2,0.07,1,20,0
route_n1,stop_04,3,12.6,12.5,2,2,0.04,0,42,1
route_n1,stop_04,0,6.9,4.6,2,2,0.04,1,18,0
route_n12,stop_04,23,16.3,6.2,2,2,0.04,0,22,0
route_n12,stop_04,21,31.6,21.9,2,2,0.04,0,24,0
route_n12,stop_07,23,26.9,4.9,1,2,0.09,0,38,1
route_n7,stop_07,23,12.1,3.1,1,2,0.09,0,30,0
route_n12,stop_04,1,19.1,4.4,2,2,0.04,1,45,1
route_n7,stop_08,0,17.1,6.4,0,1,0.22,1,65,2
route_n1,stop_09,3,21.2,22.2,1,2,0.07,1,63,1
route_n1,stop_02,23,12.3,2.4,2,1,0.14,0,37,1
route_n1,stop_05,21,12.3,8.0,2,2,0.05,0,10,0
route_n4,stop_10,1,14.2,0.3,0,0,0.28,3,96,2
route_n4,stop_02,2,19.6,8.5,2,1,0.14,0,61,1
route_n9,stop_12,0,11.7,15.6,1,2,0.06,0,38,1
route_n9,stop_09,2,12.4,6.5,1,2,0.07,0,49,1
route_n9,stop_05,0,18.6,8.6,2,2,0.05,0,23,0
route_n4,stop_04,0,15.8,2.4,2,2,0.04,1,21,0
route_n4,stop_10,23,18.2,14.1,0,0,0.28,6,96,2
route_n9,stop_12,21,11.2,0.3,1,2,0.06,0,15,0
route_n9,stop_09,21,14.1,12.4,1,2,0.07,1,32,0
route_n12,stop_11,21,18.9,1.4,0,1,0.19,2,59,1
route_n9,stop_12,0,21.1,21.6,1,2,0.06,1,46,1
route_n12,stop_11,23,18.3,4.5,0,1,0.19,1,72,2
route_n7,stop_07,0,23.5,13.3,1,2,0.09,1,43,1
route_n4,stop_07,4,17.3,2.5,1,2,0.09,0,53,1
route_n9,stop_06,22,13.2,15.4,0,0,0.32,1,82,2
route_n4,stop_04,23,12.0,1.4,2,2,0.04,0,16,0
route_n4,stop_04,1,12.1,3.1,2,2,0.04,0,37,1
route_n4,stop_07,22,16.0,4.4,1,2,0.09,1,28,0
route_n7,stop_07,21,11.5,0.6,1,2,0.09,0,23,0
route_n1,stop_01,22,10.8,1.4,1,2,0.08,1,26,0
route_n9,stop_09,22,22.4,18.7,1,2,0.07,0,32,0
route_n1,stop_02,4,18.0,24.4,2,1,0.14,2,69,2
route_n1,stop_05,2,15.7,7.4,2,2,0.05,1,51,1
route_n1,stop_05,0,24.1,26.7,2,2,0.05,0,30,0
route_n4,stop_07,3,12.2,12.3,1,2,0.09,0,58,1
route_n12,stop_04,2,15.2,4.9,2,2,0.04,0,38,1
route_n4,stop_02,22,20.6,7.9,2,1,0.14,0,25,0
route_n4,stop_04,3,24.2,16.8,2,2,0.04,0,45,1
route_n1,stop_01,0,24.2,47.0,1,2,0.08,1,62,1
